;name;retentionRate;fullStreams;consistency;amortisedConsistency;mean;score
1272;Off Deez (with J. Cole) (JID);0.9660453861581548;10;0.024096385542168676;0.1038961038961039;0.03191140915237148;0.00010057061846535256
1273;Oh Love (PlanBe);0.8782733002637221;30;0.060240963855421686;0.12903225806451613;0.09494846489337537;0.003338925358120484
1274;Oh My Buddha (Quebonafide);0.9138765838278207;21;0.024096385542168676;0.03980099502487562;0.06860935314022677;0.00010616559361746208
1275;Oh No! (Hodak);0.9784520676310865;29;0.05120481927710843;0.4473684210526316;0.09108712941911015;0.009828621629952582
1276;Ok Pal (M83);1.0;21;0.02710843373493976;0.03734439834024896;0.06306306306306306;0.0001447241953716359
1277;Old Love / New Love (Twin Shadow);0.8236407998878715;9;0.02108433734939759;0.02880658436213992;0.029680749545508884;1.3469991572130244e-05
1278;Oldschool (PlanBe);0.9783947696701729;9;0.015060240963855422;0.023923444976076555;0.026443101882977646;7.601766279034529e-06
1279;Omen (The Prodigy);0.7909551396591151;11;0.04216867469879518;0.06167400881057269;0.03800385055419171;0.00014712696400757852
1280;Omniverse (S U R V I V E);1.0;6;0.015060240963855422;0.11363636363636363;0.018018018018018018;2.0758020090102393e-05
1281;Omori omori (Guzior);0.9610527339301927;23;0.04216867469879518;0.0625;0.06926506190487877;0.0006213542992794496
1282;On God (Kanye West);0.9176521818848551;13;0.02710843373493976;0.11538461538461539;0.044091396126599645;0.0001949096039429602
1283;On My Own (Darci);0.9727845502411295;36;0.030120481927710843;0.136986301369863;0.11685099702596151;0.0014472815090483333
1284;On Sight (Kanye West);0.9275162646858334;44;0.08132530120481928;0.11688311688311688;0.14205204053746998;0.011028656949330695
1285;On Top Of The World (Imagine Dragons);0.9589054750559174;24;0.0572289156626506;0.07818930041152264;0.07486949655091248;0.0015462996465069663
1286;On the Regular (Shamir);0.8779925147405772;10;0.02710843373493976;0.10465116279069768;0.031639369900561334;0.0001054504529108358
1287;Ona to ziomal (PlanBe);0.942459123019705;34;0.06626506024096386;0.10526315789473684;0.10754788791215852;0.004577733379153915
1288;One For The Road (Arctic Monkeys);0.8980660524009361;40;0.060240963855421686;0.08333333333333333;0.1321478575604981;0.003546575360578387
1289;One Point Perspective (Arctic Monkeys);0.9620563863326517;8;0.009036144578313253;0.01775147928994083;0.02600152395493653;1.730578621031574e-06
1290;Only Ghost (Dan Croll);0.9891611640602035;30;0.03614457831325301;0.05714285714285714;0.09208407232992885;0.0006649605845596389
1291;Opaul (Freddie Dredd);0.9224553674264049;22;0.05120481927710843;0.20987654320987653;0.07479367843997876;0.0028172891940984155
1292;Opowieści z Doliny Smoków (Bedoes);0.9187581300408804;86;0.1144578313253012;0.34234234234234234;0.27314430893107267;0.1701565076344267
1293;Opr (Gesaffelstein);0.9388974720954995;29;0.0572289156626506;0.168141592920354;0.09586340555930026;0.004358800138565072
1294;Optimistic Nihilism (Epic Mountain);0.9226460481099656;85;0.0963855421686747;0.2962962962962963;0.2687587587587587;0.10325723773533578
1295;Origin (Ben Frost);1.0;6;0.006024096385542169;0.0273972602739726;0.018018018018018018;8.007477338866897e-07
1296;Ortalion (Taco Hemingway);0.8666328408873589;28;0.04216867469879518;0.20588235294117646;0.09369003685268747;0.002356535834344805
1297;Ostatni Kurs (Otsochodzi);0.9224560469876244;49;0.09939759036144578;0.15639810426540285;0.16066802019604268;0.025824704592082113
1298;Ostatni bal (Kukon);0.7754219420800298;12;0.018072289156626505;0.15789473684210525;0.041914699571893504;7.617888014778437e-05
1299;Ostatnie (Otsochodzi);0.9540335758299738;19;0.0391566265060241;0.05803571428571429;0.060164279556845196;0.000377447150529756
1300;Ot Tak (Tort);0.7131446078431373;3;0.006024096385542169;0.011627906976744186;0.01284945239357004;7.298004769653569e-08
1301;Otherside (Red Hot Chili Peppers);0.9212985624078418;8;0.012048192771084338;0.017543859649122806;0.024899961146157886;2.728720592018321e-06
1302;Outlands (Daft Punk);0.989044682801952;16;0.02108433734939759;0.03783783783783784;0.04752166644093463;5.739100932490623e-05
1303;Outlands, Part II (Daft Punk);0.9779293915040184;27;0.04819277108433735;0.3333333333333333;0.08810174698234399;0.005933535777530152
1304;Outro (M83);0.9472688845638148;105;0.19879518072289157;0.2716049382716049;0.3271349000745906;0.5784271216282548
1305;Outside (Kartky);0.8731958626585988;17;0.05421686746987952;0.10909090909090909;0.05506640575324497;0.000975378164387972
1306;Over (Honors);1.0;7;0.012048192771084338;0.06896551724137931;0.021021021021021023;1.0160164891909579e-05
1307;Over and Over (Miike Snow);0.9846080456106627;22;0.02108433734939759;0.038461538461538464;0.06800596110824397;9.509758700132267e-05
1308;Overdue (with Travis Scott) (Metro Boomin);0.9567976976753986;18;0.02710843373493976;0.060810810810810814;0.05746532718771164;0.00017652464050639603
1309;Overpopulation (Epic Mountain);0.9789162244638968;9;0.009036144578313253;0.03225806451612903;0.02939688361753444;3.8948331449683225e-06
1310;Overthinker (INZO);0.9444474626865673;21;0.03313253012048193;0.3333333333333333;0.0709044641656582;0.0018251545312310282
1311;Owoce 3 (Fukaj);0.9245024810080389;25;0.04216867469879518;0.3684210526315789;0.07773594434902428;0.003902936208690719
