;trackName;artists;primaryArtist;album;durationMs;explicit;artistGenres;popularity;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;timeSignature
7119;Roadgame;['Kavinsky'];Kavinsky;OutRun;224386;False;['electro house', 'filter house'];42;0.563;0.642;1.0;-4.426;0.0;0.0372;0.0292;0.888;0.0852;0.12;120.07;4.0
7120;Glacier;['Da Vosk Docta'];Da Vosk Docta;Glacier;170009;False;['polish alternative rap', 'wave'];9;0.483;0.65;9.0;-4.8;0.0;0.0347;0.0292;0.628;0.0996;0.116;74.524;4.0
7121;Moons;['Epic Mountain'];Epic Mountain;Kurzgesagt, Vol. 1 (Original Motion Picture Soundtrack);123689;False;['video game music'];21;0.399;0.365;0.0;-12.191;1.0;0.029;0.876;0.853;0.0843;0.0385;92.603;4.0
7122;BŁYSK.adło;['Hey', 'Dawid Podsiadło'];Hey;BŁYSK.adło;223139;False;['polish alternative rock', 'polish rock'];29;0.59;0.749;9.0;-4.335;1.0;0.0342;0.0658;0.0;0.11;0.462;123.973;4.0
7123;Mokotow;['Lilly Hates Roses'];Lilly Hates Roses;Mokotow;185706;False;['polish indie'];38;0.616;0.648;7.0;-7.884;1.0;0.0367;0.578;0.00819;0.134;0.699;139.94;4.0
7124;Every Step of the Guey;['Burgos', 'Lvcid Phvrvoh'];Burgos;Every Step of the Guey;194000;True;['aesthetic rap', 'dark trap', 'emo rap', 'sad lo-fi', 'sad rap'];47;0.741;0.419;0.0;-13.795;1.0;0.145;0.225;8.92e-06;0.348;0.57;153.976;4.0
7125;styl;['be vis', 'Popkiller Młode Wilki'];be vis;styl;169770;True;['polish hip hop', 'polish trap'];37;0.828;0.559;10.0;-10.585;0.0;0.241;0.588;0.0;0.126;0.495;116.678;5.0
7126;Winning the War;['Christophe Beck'];Christophe Beck;Edge of Tomorrow (Original Motion Picture Soundtrack);87920;False;['canadian soundtrack', 'soundtrack'];15;0.403;0.108;2.0;-24.083;1.0;0.0444;0.867;0.879;0.0929;0.038;84.948;4.0
7127;Unbelievable;"[""Why Don't We""]";Why Don't We;Unbelievable;189384;False;['boy band', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'teen pop'];56;0.532;0.66;7.0;-7.138;1.0;0.0825;0.105;0.000222;0.0996;0.676;130.013;4.0
7128;Stay Alive;['Hidden Citizens', 'REMMI'];Hidden Citizens;Black Clouds;250666;False;['epicore', 'modern alternative rock'];45;0.319;0.626;1.0;-9.681;1.0;0.0521;0.173;0.0308;0.105;0.092;119.573;5.0
7129;POLITYK;['Oki', 'Young Igi', 'zxbrv'];Oki;77747mixtape;152470;True;['polish hip hop'];42;0.759;0.733;8.0;-5.895;1.0;0.286;0.0939;0.0;0.158;0.622;84.923;4.0
7130;Kismet;['WHOKILLEDXIX'];WHOKILLEDXIX;19;171808;True;['glitchcore', 'viral rap'];61;0.659;0.743;6.0;-5.59;1.0;0.326;0.00647;0.0;0.0741;0.849;160.025;4.0
7131;Quarter Past Midnight;['Bastille'];Bastille;Quarter Past Midnight;201799;False;['metropopolis', 'modern rock', 'pop', 'pop rock', 'tropical house'];60;0.504;0.821;8.0;-3.356;1.0;0.0598;0.275;0.0;0.0418;0.458;155.131;4.0
7132;Headstrong;['Trapt'];Trapt;Trapt;285569;True;['alternative metal', 'nu metal', 'post-grunge', 'rap rock'];75;0.492;0.896;4.0;-5.819;0.0;0.117;0.000172;2.78e-06;0.189;0.534;184.981;4.0
7133;Patience;['Suduaya'];Suduaya;Come Back To Life;496056;False;[];32;0.533;0.543;9.0;-10.443;0.0;0.0263;0.0546;0.836;0.0881;0.141;142.006;4.0
7134;Blue Embers;['Cell'];Cell;Fahrenheit Project, Pt. 5;424133;False;['ambient psychill', 'psychill', 'space ambient'];28;0.25;0.412;8.0;-19.862;1.0;0.045;0.656;0.835;0.173;0.136;89.363;4.0
7135;Raperzy Są Niedobrzy;['Łona I Webber'];Łona I Webber;Koniec Żartów;195786;False;['polish alternative', 'polish alternative rap', 'polish hip hop'];23;0.75;0.795;10.0;-7.59;0.0;0.306;0.0193;0.0;0.0867;0.8;96.07;4.0
7136;одиночество (Interlude) (prod. Auer);['Pezet'];Pezet;Muzyka współczesna;113680;False;['polish hip hop'];27;0.168;0.235;4.0;-16.589;1.0;0.0396;0.954;0.899;0.612;0.0347;80.64;4.0
7137;Six Feet Under;['Billie Eilish'];Billie Eilish;Six Feet Under;189613;False;['art pop', 'electropop', 'pop'];77;0.576;0.307;11.0;-12.732;0.0;0.0428;0.807;0.000355;0.0792;0.157;67.513;4.0
7138;Thunder / Young Dumb & Broke (with Khalid) - Medley;['Imagine Dragons', 'Khalid'];Imagine Dragons;Thunder / Young Dumb & Broke (with Khalid) [Medley];251283;False;['modern rock', 'rock'];65;0.439;0.681;0.0;-5.516;1.0;0.15;0.101;0.000232;0.395;0.3;168.082;4.0
7139;Avengers;['Quebonafide', 'Eripe'];Quebonafide;Eklektyka;205680;False;['polish hip hop'];35;0.508;0.654;10.0;-11.898;0.0;0.1;0.0377;0.0;0.0811;0.508;93.817;4.0
7140;Garden - Calibre Remix;['Totally Enormous Extinct Dinosaurs', 'Calibre'];Totally Enormous Extinct Dinosaurs;Garden (Calibre Remix);358975;False;['alternative dance', 'electronica', 'indietronica', 'new rave', 'oxford indie'];49;0.73;0.349;0.0;-8.837;0.0;0.131;0.0478;0.898;0.124;0.753;174.03;4.0
7141;Powa;['Tune-Yards'];Tune-Yards;W H O K I L L;303800;False;['art pop', 'escape room', 'freak folk', 'indie pop', 'indie rock', 'new rave', 'one-person band'];50;0.752;0.315;5.0;-7.459;1.0;0.0323;0.675;7.66e-05;0.129;0.524;109.614;4.0
7142;Finding Sanctuary;['Meyer'];Meyer;Stellaris: Ancient Relics;251426;False;[];26;0.223;0.32;2.0;-16.902;1.0;0.0361;0.95;0.979;0.107;0.0427;143.937;3.0
7143;Fault Line;['Jack River'];Jack River;Sugar Mountain;171070;True;['australian indie', 'australian pop'];25;0.49;0.495;9.0;-5.253;1.0;0.0275;0.0237;0.0;0.0834;0.478;88.015;4.0
7144;Convergence;['Random Factor'];Random Factor;Convergence;335933;False;[];31;0.812;0.421;11.0;-10.621;0.0;0.18;0.0011;0.777;0.107;0.6;119.992;4.0
7145;Nie licz mi;['Sulin'];Sulin;Ponad tym;205645;False;['smutny rap'];16;0.453;0.803;10.0;-6.211;0.0;0.267;0.438;0.0;0.543;0.501;91.607;4.0
